C1,X1,X2,X3,X4,X5,C2,X6,X7,X8,X9,X10,X11,X12,X13,score,Y
Building supplies and accessories,0.09339774557165861,0.014173228346456693,0.44444444444444453,0.6571428571428571,0.8673835125448028,ecom,0.8709677419354839,0.01948051948051948,0.8330582955302533,0.2080234758916201,2.0636585951470797e-06,0.32355410880919233,0.5430756225226459,0.9,1.4736842105263201,1
Industrial Supplies & Solutions,0.18840579710144928,0.05511811023622047,0.44444444444444453,0.6571428571428571,0.7706093189964157,ecom,0.5637766891579629,0.0735930735930736,0.8330870600457233,0.2079781490481686,2.0636585951470797e-06,0.3235153940795506,0.5878641322494546,0.8,1.29411764705882,1
"Computers,Mobile & related Accessories",0.28180354267310787,0.02125984251968504,0.5555555555555556,0.6571428571428571,0.8864994026284349,ecom,0.8108420371568537,0.11255411255411256,0.8324737575777277,0.2067306476488308,0.0013470925381137279,0.32244987361253064,0.6335796479396965,0.7,1.4,1
Other Service Activities,0.21739130434782608,0.003937007874015748,0.44444444444444453,0.3142857142857143,0.7765830346475507,ecom,0.7413346889731028,0.01948051948051948,0.8321185079565262,0.2058229729811324,0.001017802567829989,0.3216746071989285,0.5691235008789542,0.55,1.25,1
"Home, Furnishing and Decor",0.21256038647342995,0.005511811023622047,0.6111111111111113,0.3142857142857143,0.8303464755077659,ecom,0.8132914317404566,0.04112554112554113,0.8320701806219377,0.2057140163850513,0.0002516971756941399,0.3215815447917818,0.5766335337332072,0.55,1.4166666666666698,1
"Food grains, Grocery and other related products",0.30112721417069244,0.013385826771653543,0.3888888888888889,0.3142857142857143,0.8028673835125448,ecom,0.6862002033459654,0.008658008658008658,0.8327644260468774,0.207260410084685,0.0007706515897486218,0.32290235624570496,0.5895928849697486,0.55,1.08333333333333,1
"Food grains, Grocery and other related products",0.30112721417069244,0.013385826771653543,0.3888888888888889,0.3142857142857143,0.8028673835125448,ecom,0.6862002033459654,0.008658008658008658,0.8327644260468774,0.207260410084685,0.0007706515897486218,0.32290235624570496,0.5895928849697486,0.55,1.08333333333333,1
Education,0.48148148148148145,0.03937007874015748,0.5555555555555556,0.6571428571428571,0.8399044205495818,ecom,0.8881597190128477,0.14285714285714285,0.8325643787053565,0.20686605709837902,0.0017740738773867292,0.3225655300278245,0.7191916304496501,0.5,1.3636363636363602,1
Industrial Supplies & Solutions,0.499194847020934,0.012598425196850394,0.6666666666666669,0.6571428571428571,0.7335722819593787,ecom,0.8206858304834088,0.017316017316017316,0.832616591874665,0.20694278233576882,0.000403347260390032,0.322631062868765,0.48556377778487125,0.5,1.1818181818181799,1
Industrial Supplies & Solutions,0.5265700483091788,0.007874015748031496,0.5555555555555556,0.6571428571428571,0.8542413381123058,ecom,0.7537203068675479,0.030303030303030304,0.8321996909047158,0.20599878763374493,2.0636585951470797e-06,0.3218247746543399,0.7355138368556757,0.45,1.0,1
Textile/Manufacturing/Yarn/Fabric/Grey Cloth,0.533011272141707,0.02047244094488189,0.5555555555555556,0.3142857142857143,0.8219832735961768,ecom,0.806266752934652,0.01948051948051948,0.8324224035918674,0.20652563903579202,5.1064982145836865e-05,0.32227477090465056,0.7559300742762546,0.45,1.0,1
Other Service Activities,0.537842190016103,0.024409448818897637,0.44444444444444453,0.6571428571428571,0.0,ecom,0.8494315555966355,0.021645021645021644,0.8323794479048148,0.206399849225888,2.0636585951470797e-06,0.32216733085122345,0.7127795687803662,0.45,1.1,1
Other Service Activities,0.537842190016103,0.024409448818897637,0.44444444444444453,0.6571428571428571,0.0,ecom,0.8494315555966355,0.021645021645021644,0.8323794479048148,0.206399849225888,2.0636585951470797e-06,0.32216733085122345,0.7127795687803662,0.45,1.1,1
Logistics,0.31561996779388085,0.003937007874015748,0.5555555555555556,0.3142857142857143,0.8805256869772998,ecom,0.8906553285885941,0.08658008658008658,0.832696923480482,0.20719174334856202,1.35924775624492e-05,0.32284370636139914,0.6466249501145049,0.7,1.06666666666667,1
Textile/Manufacturing/Yarn/Fabric/Grey Cloth,0.5603864734299517,0.02047244094488189,0.6666666666666669,0.6571428571428571,0.8339307048984468,lvl_loan,0.7683704593770219,0.01948051948051948,0.83236641431534,0.20640799091142736,0.00017612192442381875,0.3221742848575138,0.7711267644287177,0.45,1.3,1
Textile/Manufacturing/Yarn/Fabric/Grey Cloth,0.5603864734299517,0.02047244094488189,0.6666666666666669,0.6571428571428571,0.8339307048984468,lvl_loan,0.7683704593770219,0.01948051948051948,0.83236641431534,0.20640799091142736,2.0636585951470797e-06,0.3221742848575138,0.7711267644287177,0.45,1.3,1
Textile/Manufacturing/Yarn/Fabric/Grey Cloth,0.5603864734299517,0.02047244094488189,0.6666666666666669,0.6571428571428571,0.8339307048984468,lvl_loan,0.7683704593770219,0.01948051948051948,0.83236641431534,0.20640799091142736,2.0636585951470797e-06,0.3221742848575138,0.7711267644287177,0.45,1.3,1
Financial Services,0.3413848631239936,0.03937007874015748,0.2777777777777778,0.6571428571428571,0.8243727598566308,ecom,0.9009150568444403,0.015151515151515152,0.9097900956134986,0.3821246468922181,3.2945521668893694e-05,0.47225803902663166,0.6164307684337089,0.65,1.35714285714286,1
"Health, Wellness,Medicine & Pharma products",0.35104669887278583,0.04566929133858268,0.44444444444444453,0.6571428571428571,0.8769414575866189,ecom,0.8520658101488122,0.017316017316017316,0.833015201875189,0.20875369630908908,0.0011617360296971,0.32417780734825774,0.6629575657245758,0.65,1.0,1
"Health, Wellness,Medicine & Pharma products",0.35104669887278583,0.04566929133858268,0.44444444444444453,0.6571428571428571,0.8769414575866189,ecom,0.8520658101488122,0.017316017316017316,0.833015201875189,0.20875369630908908,0.0011617360296971,0.32417780734825774,0.6629575657245758,0.65,1.0,1
"Food grains, Grocery and other related products",0.6086956521739131,0.008661417322834646,0.5555555555555556,0.6571428571428571,0.8446833930704899,ecom,0.5684906183565949,0.008658008658008658,0.8326967118072716,0.20913108681146472,0.00044629595398288816,0.32450014550719986,0.7722302572466109,0.4,1.0,1
